Date,FB: Level Achieved - Tier 1,FB: Level Achieved - Tier 2,FB: Level Achieved - Tier 3,,FB: Test Campaigns,FB: Purchase Tier 3,FB: Purchase ,TikTok: Pangle Android Achieve Level,TikTok: Pangle Android Purchase,TikTok: Android Achieve Level,TikTok: Purchase Roas,TikTok: Pangle And Loanapply,TikTok: Bau,TikTok: Loanapply,TikTok: Spc Loan Apply
5/8/2023,2157,1008,1057,,1433,,2,0,0,,,356,1,0,
5/9/2023,2183,1108,1103,,2130,,,0,0,,,423,0,,
5/10/2023,2019,969,976,,1770,,1,0,0,,,397,0,0,
5/11/2023,2013,1033,999,,1983,,1,0,0,0,,419,0,0,
5/12/2023,1902,932,850,,644,,,0,0,,,360,0,0,
5/13/2023,1654,857,821,,75,,1,0,0,,0,319,0,0,
5/14/2023,1760,959,964,,62,,,0,0,0,,289,0,0,
5/15/2023,2777,1509,1350,,1306,,,0,0,,0,426,0,0,
5/16/2023,3458,1733,1447,,1864,,2,0,0,,,793,0,0,
5/17/2023,3190,1337,1264,,1566,,2,0,0,,,982,0,0,
5/18/2023,2946,1401,1251,,1553,,,0,0,0,0,1102,0,0,
5/19/2023,2861,1379,1147,,606,,3,0,0,,0,1024,0,0,0
5/20/2023,2341,1143,1017,,97,,,0,0,,,771,0,0,
5/21/2023,2519,1214,1108,,129,,3,0,0,0,0,826,0,0,
5/22/2023,3192,1481,1194,,2616,,2,0,0,,,1080,0,0,
5/23/2023,3829,1713,1377,,4161,,1,0,0,,,1350,0,0,
5/24/2023,3610,1881,1368,,3902,,,0,0,,,1389,0,0,
5/25/2023,3652,1663,1392,,3288,,1,0,0,,,1250,0,0,0
5/26/2023,3533,1739,1526,,2333,,,0,0,0,0,1122,0,0,
5/27/2023,3074,1474,1325,,1767,,,0,0,0,0,898,0,0,
5/28/2023,3031,1510,1515,,1639,,,0,0,,,1179,0,0,
5/29/2023,3533,1657,1638,,1529,,,0,0,,,1301,0,0,
5/30/2023,4003,1880,1650,,1831,,1,0,0,0,0,1269,0,0,
5/31/2023,4180,1986,1716,,1882,,,0,0,,,1286,0,0,
6/1/2023,4071,1963,1614,,1928,,1,0,0,,,1164,0,0,0
6/2/2023,4076,2053,1798,,1390,,1,0,0,,,969,0,0,
6/3/2023,3294,1600,1398,,397,,1,0,0,,,728,0,0,0
6/4/2023,3249,1608,1525,,143,,,0,0,0,0,736,0,0,
6/5/2023,3622,1940,1733,,184,,1,0,0,,,864,0,0,
