Date,paid_search_impressions_adst.5,kwai_impressions_lag2_adst.3,indicacao_clicks_adst.3,infleux_clicks_adst.3,programmaticclicks_adst.4,influencer_clicks_adst.3,FB: Level Achieved - Tier 1 Impressions_adst.2, FB: Level Achieved - Tier 2 Impressions_lag3_adst.5,paid_social_others_adst.3, GA App: Will And Cid Pequena Baixo Risco Clicks_lag3_adst.5,digital_tactic_others_adst.2,total_approved_accounts_revenue
5/9/2023,0.352763116,0,0.227968839,0.536965883,0.326555461,0.006406767,0.268511839,0,0.322874887,0,0.858343115,5066400
5/10/2023,0.552730099,0,0.284740122,0.612222517,0.474468564,0.091513543,0.304339606,0,0.459004187,0,0.96843916,5480000
5/11/2023,0.610863695,0.099494568,0.324980555,0.253244783,0.719247693,0.045441848,0.375297126,0,0.269521674,0,0.648843922,4133100
5/12/2023,0.611044625,0.119794482,0.237656839,0.167695458,0.94691199,0.013498409,0.363355847,0.236682829,0.227985783,0.231117127,0.58653525,3573910
5/13/2023,0.523218843,0.110003719,0.137327757,0.134721581,1,0.01872232,0.494272053,0.337001718,0.255275718,0.246438196,0.55694985,2776120
5/14/2023,0.479746477,0.122509754,0.073508734,0.104107356,0.917008041,0.000841568,0.533369109,0.429768979,0.47300377,0.266253356,0.625593183,2611960
5/15/2023,0.710745905,0.134754824,0.095090825,0.171551367,0.85319903,0.128518836,0.501493094,0.471412229,0.526676808,0.345324808,0.807820868,3951760
5/16/2023,0.931594079,0.151227455,0.157994263,0.181640297,0.441452762,0.323289421,0.538534178,0.557480628,0.532724799,0.428354313,0.785058244,4150900
5/17/2023,0.979085991,0.198597784,0.169251883,0.131908086,0.199084599,0.101935661,0.552583862,0.609952958,0.573149521,0.511198777,0.694833711,3788540
5/18/2023,1,0.21514319,0.195943594,0.163981551,0.155333224,0.110227249,0.453652336,0.603587746,0.41894058,0.496361885,0.650432316,3652210
5/19/2023,0.888872044,0.171916121,0.170994785,0.225729547,0.152412566,0.046856976,0.499644767,0.619398168,0.417090621,0.496404827,0.68170408,3777590
5/20/2023,0.770124163,0.177909561,0.128709741,0.249906994,0.151952012,0,0.508928243,0.629315278,0.405912087,0.508355223,0.656180345,3437270
5/21/2023,0.72516169,0.183435881,0.103194708,0.175884659,0.112375582,0.04296069,0.541027314,0.57308862,0.730944213,0.493287185,0.694931507,3020020
5/22/2023,0.709665926,0.174246458,0.203181711,0.275123115,0.075510674,0.200161348,0.619226454,0.584787439,0.882555462,0.491495248,0.757380847,3643240
5/23/2023,0.656795674,0.182632948,0.378438533,0.497696534,0.060786265,0.207099699,0.577315035,0.599696185,0.870205355,0.451851845,0.712595006,5146270
5/24/2023,0.694991891,0.213462917,0.393870564,0.968410046,0.053100864,0.273049961,0.626294581,0.603219896,0.847847542,0.447384404,0.677925499,5832220
5/25/2023,0.74360519,0.235997326,0.266200692,0.897435386,0.049379979,0.184103453,0.563918016,0.660333291,0.788762305,0.445475957,0.703628553,5217860
5/26/2023,0.58993965,0.188361357,0.216545474,0.520651242,0.04898133,0.127584614,0.520601681,0.649182559,0.788336278,0.455182755,0.689122576,4123930
5/27/2023,0.506876595,0.163541039,0.135999704,0.20481724,0.046602853,0.297594251,0.615632896,0.683766396,0.853860583,0.476465809,0.689227416,2668440
5/28/2023,0.501531068,0.178077343,0.092473146,0.1049082,0.045093131,0.332685203,0.599216924,0.655433114,0.660933105,0.468301189,0.726770147,2630380
5/29/2023,0.566195731,0.191938366,0.118246209,0.033239924,0.043733165,0.381666342,0.664813301,0.617032176,0.659798691,0.488176304,0.442961658,3057510
5/30/2023,0.511304069,0.2052562,0.147843633,0.009875323,0.042687346,0.311718006,0.682320464,0.662415878,0.651471216,0.514165138,0.424526911,3360270
5/31/2023,0.487256575,0.231319811,0.123871914,0.002865942,0.040680347,0.223549761,0.749539121,0.66646778,0.628542932,0.538271976,0.315145611,3158130
6/1/2023,0.53086487,0.236648389,0.11689115,0.111864595,0.049329111,0.252128078,0.763046993,0.731894488,0.535577409,0.531871075,0.305830285,3322330
6/2/2023,0.610314889,0.190908695,0.269594163,0.43926833,0.066807019,0.298713428,0.794267982,0.771713199,0.473653403,0.51310394,0.251629996,4244170
6/3/2023,0.54991481,0.19300258,0.169617467,0.372103117,0.075698133,0.137878699,0.836045889,0.838468934,0.458993689,0.560955319,0.220821275,3711670
6/4/2023,0.582709876,0.128350255,0.115730466,0.160088067,0.078764852,0.046975442,0.785179741,0.860216758,0.465291651,0.620189832,0.233178856,2851980
6/5/2023,0.614274064,0.216768474,0.290716304,0.270245412,0.239527821,0.075838251,0.687376686,0.895690556,0.742272397,0.624601673,0.254974885,4117320
6/6/2023,0.593429632,0.232431387,0.279802089,0.397669038,0.441013856,0.076983123,0.692420793,0.93048249,0.838624307,0.700817384,0.252946266,4627290
6/7/2023,0.599999103,0.325513219,0.227185545,0.30309285,0.39845537,0.095669514,0.756313188,0.902987215,0.617182835,0.650716244,0.248514602,4019320
6/8/2023,0.563762433,0.332130166,0.297756157,0.260275243,0.265742347,0.132436313,0.727202916,0.831737362,0.537335835,0.593251125,0.275326738,4272770
6/9/2023,0.569180732,0.255864872,0.262788313,0.358722174,0.15659074,0.356288543,0.726320394,0.813554606,0.526537595,0.650756002,0.240483442,4788710
6/10/2023,0.486742649,0.309327603,0.174346116,0.436541259,0.119193601,0.512727872,0.812612823,0.826570714,0.557594365,0.668123851,0.208178199,4707070
6/11/2023,0.524944012,0.331776838,0.221497576,0.412538374,0.102395069,0.426397178,0.82704718,0.816022807,0.50078735,0.727650092,0.226087509,4560170
6/12/2023,0.651658711,0.310021707,0.244705344,1,0.095518093,0.166017862,0.865789346,0.819904799,0.693769897,0.70901377,0.173735641,7031980
6/13/2023,0.533708466,0.322551556,0.301009954,0.818076284,0.099597303,0.20812761,0.849247227,0.887618943,0.777761269,0.796394919,0.145229055,5335600
6/14/2023,0.450944983,0.418638671,0.687823541,0.384138036,0.148291161,0.239545463,0.857451243,0.908658617,0.750376571,0.714543011,0.163844417,4382390
6/15/2023,0.397165602,0.462821697,0.615429109,0.2052207,0.180071218,0.268197746,0.771078437,0.916734938,0.76224552,0.61456987,0.165098246,4334320
