Date,kwai,programmatic,infleux,affiliates,influencer,liftOff,indicacao,paid_social,paid_search,digital_app
5/8/2023,1288.00,40700.00,6487.00,334.00,292.00,,2328.00,6014.00,376.00,7809.00
5/9/2023,1142.00,49323.00,17330.00,369.00,95.00,,2786.00,6947.00,346.00,8572.00
5/10/2023,1102.00,55768.00,17065.00,381.00,151.00,,2331.00,6132.00,332.00,13655.00
5/11/2023,968.00,54028.00,2531.00,435.00,65.00,,2710.00,6448.00,277.00,10213.00
5/12/2023,1026.00,57084.00,2802.00,352.00,31.00,,1706.00,4688.00,368.00,7793.00
5/13/2023,947.00,49772.00,2618.00,410.00,39.00,,1005.00,3727.00,278.00,6496.00
5/14/2023,982.00,42586.00,1735.00,212.00,20.00,,606.00,4034.00,304.00,5933.00
5/15/2023,1229.00,44786.00,3993.00,363.00,142.00,,944.00,7368.00,492.00,8754.00
5/16/2023,1510.00,23624.00,4656.00,293.00,361.00,,1685.00,9297.00,685.00,12116.00
5/17/2023,1333.00,16330.00,2574.00,313.00,78.00,,1436.00,8341.00,580.00,10826.00
5/18/2023,1568.00,13638.00,3934.00,379.00,136.00,,1509.00,8253.00,663.00,11071.00
5/19/2023,1654.00,11303.00,6181.00,761.00,59.00,,1298.00,7020.00,452.00,10742.00
5/20/2023,1488.00,8442.00,6591.00,841.00,61.00,,1034.00,5369.00,388.00,9747.00
5/21/2023,1649.00,6554.00,3614.00,526.00,122.00,,932.00,5799.00,405.00,9750.00
5/22/2023,1970.00,7719.00,6489.00,585.00,260.00,,1724.00,9565.00,414.00,12472.00
5/23/2023,2009.00,6073.00,13353.00,1144.00,226.00,,3344.00,12431.00,423.00,13882.00
5/24/2023,1632.00,7326.00,29366.00,1099.00,353.00,,3058.00,12150.00,388.00,13386.00
5/25/2023,1552.00,6398.00,22134.00,1026.00,179.00,,1686.00,11246.00,438.00,12976.00
5/26/2023,1420.00,4885.00,8835.00,643.00,156.00,,1737.00,10253.00,301.00,12742.00
5/27/2023,1432.00,3330.00,837.00,694.00,305.00,,1043.00,8538.00,262.00,11130.00
5/28/2023,1469.00,2886.00,595.00,508.00,377.00,,852.00,8874.00,396.00,10421.00
5/29/2023,1912.00,3708.00,294.00,1037.00,430.00,,1140.00,9658.00,393.00,13118.00
5/30/2023,1885.00,3933.00,151.00,1285.00,290.00,,1484.00,10634.00,338.00,13613.00
5/31/2023,1788.00,4088.00,122.00,891.00,170.00,,1134.00,11050.00,308.00,12764.00
